county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
34003,"Bergen County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34005,"Burlington County, New Jersey",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,MSA,Philadelphia,PA,"Philadelphia, PA"
34007,"Camden County, New Jersey",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,MSA,Philadelphia,PA,"Philadelphia, PA"
34009,"Cape May County, New Jersey",C1210,"Atlantic City-Hammonton, NJ MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Atlantic City-Hammonton,NJ,MSA,Atlantic City,NJ,"Atlantic City, NJ"
34011,"Cumberland County, New Jersey",C4722,"Vineland, NJ MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Vineland,NJ,MSA,Vineland,NJ,"Vineland, NJ"
34013,"Essex County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34015,"Gloucester County, New Jersey",C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",CS428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,MSA,Philadelphia,PA,"Philadelphia, PA"
34017,"Hudson County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34019,"Hunterdon County, New Jersey",C3562,"New York-Newark-Jersey City, NY-NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",New York-Newark-Jersey City,NY-NJ,MSA,New York,NY,"New York, NY"
34021,"Mercer County, New Jersey",C4594,"Trenton-Princeton, NJ MSA",CS408,"New York-Newark, NY-NJ-CT-PA CSA",Trenton-Princeton,NJ,MSA,Trenton,NJ,"Trenton, NJ"
