GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,rpp_change_20_22,msa,state,msa_short
11540,"appleton, wi (metropolitan statistical area)",3.0,  rpps: services: housing,83.861,73.774,81.02,81.339,81.193,81.985,79.144,78.245,75.378,75.829,77.759,75.363,72.449,75.49,75.213,3.815097516873933,appleton,wi,appleton
11540,"appleton, wi (metropolitan statistical area)",4.0,  rpps: services: utilities,102.997,105.021,101.696,103.509,100.628,100.388,94.474,91.827,88.952,94.978,98.52,93.196,94.862,96.311,89.874,-5.258164491577238,appleton,wi,appleton
11540,"appleton, wi (metropolitan statistical area)",5.0,  rpps: services: other,99.945,99.545,98.927,96.734,96.82,98.084,96.437,94.985,96.1,95.046,95.491,98.186,97.74,97.791,97.497,-0.24861878453038164,appleton,wi,appleton
11700,"asheville, nc (metropolitan statistical area)",1.0,rpps: all items,93.254,91.313,92.787,93.416,94.194,94.121,94.439,93.052,95.33,93.836,93.043,94.124,93.157,94.679,94.785,1.7475874062067263,asheville,nc,asheville
11700,"asheville, nc (metropolitan statistical area)",2.0,  rpps: goods,96.369,93.87,96.756,96.017,94.822,95.581,95.123,94.055,95.14,95.178,95.77,95.73,95.456,96.316,95.823,0.3844703318806468,asheville,nc,asheville
11700,"asheville, nc (metropolitan statistical area)",3.0,  rpps: services: housing,80.861,79.14,78.39,78.994,82.399,80.271,81.862,77.194,85.603,82.985,76.734,87.509,85.331,81.751,83.918,-1.655904653642869,asheville,nc,asheville
11700,"asheville, nc (metropolitan statistical area)",4.0,  rpps: services: utilities,85.115,85.763,87.578,87.387,90.242,89.719,90.394,91.168,88.33,85.361,86.442,89.097,87.934,84.542,83.964,-4.514749698637614,asheville,nc,asheville
11700,"asheville, nc (metropolitan statistical area)",5.0,  rpps: services: other,97.296,95.813,97.329,98.813,99.457,99.855,100.054,99.947,100.054,98.415,98.288,95.838,95.486,99.639,99.623,4.332572314265966,asheville,nc,asheville
12020,"athens-clarke county, ga (metropolitan statistical area)",1.0,rpps: all items,94.18,94.312,94.643,94.358,93.307,93.404,93.443,92.845,93.722,93.834,90.561,90.689,90.334,94.431,93.569,3.5811543826244816,athens-clarke county,ga,athens
12020,"athens-clarke county, ga (metropolitan statistical area)",2.0,  rpps: goods,97.209,95.084,96.566,96.35,96.145,96.423,96.601,95.671,96.417,96.3,95.655,95.444,95.246,95.879,95.271,0.026247821430827212,athens-clarke county,ga,athens
12020,"athens-clarke county, ga (metropolitan statistical area)",3.0,  rpps: services: housing,80.977,86.831,80.834,76.371,73.5,73.575,73.36,70.821,71.94,76.046,66.96,69.711,69.325,79.527,75.794,9.33141002524341,athens-clarke county,ga,athens
12020,"athens-clarke county, ga (metropolitan statistical area)",4.0,  rpps: services: utilities,90.042,88.607,90.549,94.206,93.799,93.857,94.826,93.574,91.442,89.938,89.605,91.812,92.69,90.79,92.663,-0.029129355917575813,athens-clarke county,ga,athens
12020,"athens-clarke county, ga (metropolitan statistical area)",5.0,  rpps: services: other,98.048,97.547,99.59,100.794,100.831,100.307,100.149,100.699,101.91,100.152,97.525,95.651,95.137,99.371,99.432,4.5145421865310045,athens-clarke county,ga,athens
12060,"atlanta-sandy springs-alpharetta, ga (metropolitan statistical area)",1.0,rpps: all items,98.05,95.036,98.159,96.474,99.106,98.215,98.449,97.997,98.375,99.406,98.205,98.068,98.759,99.079,98.753,-0.006075395660142597,atlanta-sandy springs-alpharetta,ga,atlanta
12060,"atlanta-sandy springs-alpharetta, ga (metropolitan statistical area)",2.0,  rpps: goods,93.857,97.742,96.539,97.748,99.684,99.726,99.22,99.2,98.692,99.165,99.073,97.061,97.194,97.179,99.344,2.2120707039529104,atlanta-sandy springs-alpharetta,ga,atlanta
12060,"atlanta-sandy springs-alpharetta, ga (metropolitan statistical area)",3.0,  rpps: services: housing,101.681,101.1,96.511,96.058,95.378,94.081,94.977,96.009,98.38,98.923,99.118,99.545,102.684,105.5,107.381,4.574227727786221,atlanta-sandy springs-alpharetta,ga,atlanta
12060,"atlanta-sandy springs-alpharetta, ga (metropolitan statistical area)",4.0,  rpps: services: utilities,94.817,92.916,98.768,103.315,101.847,101.292,98.547,101.945,102.41,105.121,98.921,101.756,101.249,99.984,103.567,2.289405327460022,atlanta-sandy springs-alpharetta,ga,atlanta
12060,"atlanta-sandy springs-alpharetta, ga (metropolitan statistical area)",5.0,  rpps: services: other,100.525,91.367,99.976,95.221,99.76,98.269,98.974,97.522,97.945,99.448,97.292,98.159,98.572,98.653,95.571,-3.0444751044921525,atlanta-sandy springs-alpharetta,ga,atlanta
12100,"atlantic city-hammonton, nj (metropolitan statistical area)",1.0,rpps: all items,109.833,106.972,106.868,105.629,105.424,102.238,101.473,103.255,102.384,97.846,99.748,97.184,100.696,96.964,98.575,-2.1063398744736586,atlantic city-hammonton,nj,atlantic city
12100,"atlantic city-hammonton, nj (metropolitan statistical area)",2.0,  rpps: goods,108.854,108.047,105.227,107.049,103.256,98.623,97.472,100.29,102.76,99.019,100.432,97.299,99.07,95.514,96.821,-2.270112041990507,atlantic city-hammonton,nj,atlantic city
12100,"atlantic city-hammonton, nj (metropolitan statistical area)",3.0,  rpps: services: housing,128.971,109.309,113.676,113.709,119.639,112.579,108.678,118.08,107.078,82.004,102.039,90.452,105.158,90.607,105.025,-0.12647634987351944,atlantic city-hammonton,nj,atlantic city
12100,"atlantic city-hammonton, nj (metropolitan statistical area)",4.0,  rpps: services: utilities,118.75,126.776,128.277,127.822,126.893,125.62,106.695,101.439,103.048,103.316,110.757,114.035,113.998,109.309,103.718,-9.017702064948509,atlantic city-hammonton,nj,atlantic city
12100,"atlantic city-hammonton, nj (metropolitan statistical area)",5.0,  rpps: services: other,102.656,104.151,103.717,100.272,100.155,99.432,101.069,99.805,100.334,104.103,97.85,98.774,99.335,99.802,96.981,-2.369758896662807,atlantic city-hammonton,nj,atlantic city
12220,"auburn-opelika, al (metropolitan statistical area)",1.0,rpps: all items,90.259,88.37,89.257,92.103,91.046,91.028,91.29,88.686,90.198,89.605,88.933,90.697,89.243,89.589,88.65,-0.6644778862207561,auburn-opelika,al,auburn
12220,"auburn-opelika, al (metropolitan statistical area)",2.0,  rpps: goods,93.834,91.611,95.885,94.456,91.159,93.471,92.093,91.526,92.614,91.302,92.5,94.647,94.366,93.939,94.618,0.2670453341245738,auburn-opelika,al,auburn
12220,"auburn-opelika, al (metropolitan statistical area)",3.0,  rpps: services: housing,75.025,75.838,70.923,81.873,76.547,69.702,72.655,64.448,69.977,72.536,65.012,69.821,66.75,70.767,60.605,-9.2059925093633,auburn-opelika,al,auburn
12220,"auburn-opelika, al (metropolitan statistical area)",4.0,  rpps: services: utilities,83.893,82.8,86.071,86.974,93.362,90.304,93.28,95.702,97.587,97.91,87.318,85.897,85.159,85.948,86.581,1.6698176352470049,auburn-opelika,al,auburn
12220,"auburn-opelika, al (metropolitan statistical area)",5.0,  rpps: services: other,95.225,92.404,93.999,95.096,97.989,98.002,98.812,97.601,96.384,94.686,95.902,96.87,96.507,96.06,96.923,0.43105681453158506,auburn-opelika,al,auburn
12260,"augusta-richmond county, ga-sc (metropolitan statistical area)",1.0,rpps: all items,91.031,90.536,92.179,93.622,93.428,93.209,92.464,93.202,93.588,92.418,91.449,90.306,89.702,91.912,91.979,2.5384049408039964,augusta-richmond county,ga-sc,augusta
12260,"augusta-richmond county, ga-sc (metropolitan statistical area)",2.0,  rpps: goods,97.039,94.83,96.617,96.303,96.324,96.605,96.963,95.907,96.606,96.482,95.556,95.539,95.319,95.976,95.041,-0.291652241420919,augusta-richmond county,ga-sc,augusta
12260,"augusta-richmond county, ga-sc (metropolitan statistical area)",3.0,  rpps: services: housing,66.952,69.604,69.198,73.602,71.463,70.929,67.1,70.754,69.964,69.092,69.908,68.649,69.15,67.932,69.119,-0.04483007953724644,augusta-richmond county,ga-sc,augusta
