county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
22023,"cameron parish, louisiana",C2934,"Lake Charles, LA MSA",CS324,"Lake Charles-DeRidder, LA CSA",Lake Charles,LA,MSA,Lake Charles,LA,"Lake Charles, LA"
22031,"de soto parish, louisiana",C4334,"Shreveport-Bossier City, LA MSA",CS508,"Shreveport-Bossier City-Minden, LA CSA",Shreveport-Bossier City,LA,MSA,Shreveport,LA,"Shreveport, LA"
22033,"east baton rouge parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22037,"east feliciana parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22043,"grant parish, louisiana",C1078,"Alexandria, LA MSA",,,Alexandria,LA,MSA,Alexandria,LA,"Alexandria, LA"
22047,"iberville parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22051,"jefferson parish, louisiana",C3538,"New Orleans-Metairie, LA MSA",CS406,"New Orleans-Metairie-Slidell, LA-MS CSA",New Orleans-Metairie,LA,MSA,New Orleans,LA,"New Orleans, LA"
22053,"jefferson davis parish, louisiana",C2934,"Lake Charles, LA MSA",CS324,"Lake Charles-DeRidder, LA CSA",Lake Charles,LA,MSA,Lake Charles,LA,"Lake Charles, LA"
22055,"lafayette parish, louisiana",C2918,"Lafayette, LA MSA",CS318,"Lafayette-New Iberia-Opelousas, LA CSA",Lafayette,LA,MSA,Lafayette,LA,"Lafayette, LA"
22057,"lafourche parish, louisiana",C2638,"Houma-Bayou Cane-Thibodaux, LA MSA",,,Houma-Bayou Cane-Thibodaux,LA,MSA,Houma,LA,"Houma, LA"
22063,"livingston parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
