fips,msa,category,cumulative biden rpp percent change,year,rpp
15980,cape coral-fort myers,all items,3.635473906350358,2008,99.901
15980,cape coral-fort myers,goods,0.01994729714122817,2008,97.731
15980,cape coral-fort myers,housing,11.438286789176685,2008,106.452
15980,cape coral-fort myers,utilities,5.756268853695314,2008,95.069
15980,cape coral-fort myers,other services,4.1242166074016895,2008,99.088
16020,cape girardeau,all items,-2.937968720134024,2008,81.284
16020,cape girardeau,goods,-2.194798827493401,2008,76.583
16020,cape girardeau,housing,-5.3581895148160275,2008,63.724
16020,cape girardeau,utilities,-0.9554208121610616,2008,75.47
16020,cape girardeau,other services,-4.862016851955354,2008,93.663
16060,carbondale-marion,all items,-0.9151252727667425,2008,81.082
16060,carbondale-marion,goods,-3.7716182007700723,2008,77.316
16060,carbondale-marion,housing,-6.068272457351664,2008,59.823
16060,carbondale-marion,utilities,3.5534298462427354,2008,87.59
16060,carbondale-marion,other services,0.1226868418362177,2008,93.989
16180,carson city,all items,-0.3385290333466895,2008,99.866
16180,carson city,goods,0.7038817312583823,2008,100.681
16180,carson city,housing,6.8376533008610965,2008,94.648
16180,carson city,utilities,-6.314960082500032,2008,86.214
16180,carson city,other services,-3.3923350205929603,2008,102.309
16220,casper,all items,-1.3785279291042896,2008,92.325
16220,casper,goods,-0.4734945959855974,2008,95.98
16220,casper,housing,-2.415369409439089,2008,69.551
16220,casper,utilities,-6.585561302542425,2008,74.126
16220,casper,other services,-2.746660028213422,2008,98.778
16300,cedar rapids,all items,-1.4689302641228548,2008,92.971
16300,cedar rapids,goods,-2.347746937152781,2008,95.316
16300,cedar rapids,housing,12.462019594183998,2008,73.118
16300,cedar rapids,utilities,2.429695131355714,2008,88.536
16300,cedar rapids,other services,-4.609660804410676,2008,98.759
16540,chambersburg-waynesboro,all items,-0.4189292380790727,2008,98.133
16540,chambersburg-waynesboro,goods,-1.0706507976702841,2008,101.025
16540,chambersburg-waynesboro,housing,3.9384538334191275,2008,80.251
16540,chambersburg-waynesboro,utilities,-0.12239119514088719,2008,108.935
16540,chambersburg-waynesboro,other services,-2.746527812748647,2008,101.318
16580,champaign-urbana,all items,-0.8868192820779935,2008,97.391
16580,champaign-urbana,goods,-3.7716182007700723,2008,96.738
16580,champaign-urbana,housing,-1.657095319879776,2008,92.707
16580,champaign-urbana,utilities,4.636626957336057,2008,97.794
16580,champaign-urbana,other services,0.1226868418362177,2008,99.534
16620,charleston,all items,2.027509619150756,2008,89.797
16620,charleston,goods,-0.7828529940970356,2008,96.564
16620,charleston,housing,-6.873597745267103,2008,61.254
16620,charleston,utilities,-2.5130638063806354,2008,72.371
16620,charleston,other services,5.467687608527379,2008,98.023
16700,charleston-north charleston,all items,1.0543704368397502,2008,97.414
16700,charleston-north charleston,goods,-0.8559724244868956,2008,97.406
16700,charleston-north charleston,housing,-1.4753792754485227,2008,96.924
16700,charleston-north charleston,utilities,-1.5086626435662795,2008,86.805
16700,charleston-north charleston,other services,4.579766905656796,2008,98.438
16740,charlotte-concord-gastonia,all items,2.8982890642423977,2008,95.269
16740,charlotte-concord-gastonia,goods,0.20638213170742215,2008,97.062
16740,charlotte-concord-gastonia,housing,6.12872238232469,2008,85.088
16740,charlotte-concord-gastonia,utilities,-3.940870187043287,2008,87.552
16740,charlotte-concord-gastonia,other services,4.366144042927807,2008,98.242
16820,charlottesville,all items,-0.6311845909516537,2008,99.668
16820,charlottesville,goods,0.5196632162428773,2008,97.285
16820,charlottesville,housing,-15.931495260949886,2008,110.462
16820,charlottesville,utilities,-0.6259609048978776,2008,86.716
16820,charlottesville,other services,4.695374062345471,2008,98.264
16860,chattanooga,all items,2.6982030478262446,2008,92.182
16860,chattanooga,goods,-0.06692444973230474,2008,97.139
16860,chattanooga,housing,9.944789510006899,2008,71.873
16860,chattanooga,utilities,5.889813713832737,2008,82.841
16860,chattanooga,other services,1.505789882941394,2008,97.961
